"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2018,4,"9E","Endeavor Air Inc.","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",54.00,3.00,1.78,0.00,0.32,0.00,0.91,0.00,0.00,130.00,73.00,0.00,11.00,0.00,46.00,
2018,4,"9E","Endeavor Air Inc.","ABY","Albany, GA: Southwest Georgia Regional",86.00,8.00,4.81,0.13,0.51,0.00,2.55,0.00,0.00,346.00,215.00,8.00,22.00,0.00,101.00,
2018,4,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",108.00,18.00,4.70,0.00,6.04,0.00,7.26,0.00,0.00,1083.00,287.00,0.00,237.00,0.00,559.00,
2018,4,"9E","Endeavor Air Inc.","ALB","Albany, NY: Albany International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018,4,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",2494.00,372.00,62.43,12.01,115.58,0.00,181.98,10.00,1.00,24866.00,6670.00,914.00,3664.00,0.00,13618.00,
2018,4,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",34.00,6.00,2.10,0.00,3.64,0.00,0.26,0.00,0.00,232.00,106.00,0.00,111.00,0.00,15.00,
2018,4,"9E","Endeavor Air Inc.","AUS","Austin, TX: Austin - Bergstrom International",3.00,2.00,0.02,0.00,1.04,0.00,0.94,0.00,0.00,335.00,6.00,0.00,29.00,0.00,300.00,
2018,4,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",61.00,11.00,5.02,0.93,3.39,0.00,1.66,0.00,0.00,582.00,383.00,93.00,72.00,0.00,34.00,
2018,4,"9E","Endeavor Air Inc.","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",49.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,265.00,265.00,0.00,0.00,0.00,0.00,
2018,4,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",29.00,3.00,0.09,0.00,0.01,0.00,2.90,1.00,0.00,303.00,12.00,0.00,2.00,0.00,289.00,
2018,4,"9E","Endeavor Air Inc.","BGR","Bangor, ME: Bangor International",114.00,30.00,7.51,0.44,5.06,0.00,16.99,4.00,0.00,1791.00,527.00,20.00,217.00,0.00,1027.00,
2018,4,"9E","Endeavor Air Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018,4,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Illinois Regional",54.00,7.00,1.63,2.44,0.53,0.00,2.40,0.00,0.00,1781.00,92.00,1497.00,70.00,0.00,122.00,
2018,4,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",148.00,34.00,8.44,0.03,9.57,0.00,15.96,7.00,0.00,1993.00,393.00,3.00,501.00,0.00,1096.00,
2018,4,"9E","Endeavor Air Inc.","BOS","Boston, MA: Logan International",567.00,128.00,23.88,2.92,58.25,0.00,42.96,14.00,0.00,8856.00,1401.00,342.00,3557.00,0.00,3556.00,
2018,4,"9E","Endeavor Air Inc.","BQK","Brunswick, GA: Brunswick Golden Isles",86.00,15.00,7.84,0.00,5.18,0.00,1.99,1.00,0.00,1355.00,1055.00,0.00,126.00,0.00,174.00,
2018,4,"9E","Endeavor Air Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",117.00,20.00,7.32,1.96,6.39,0.00,4.33,1.00,0.00,1012.00,423.00,112.00,168.00,0.00,309.00,
2018,4,"9E","Endeavor Air Inc.","BTV","Burlington, VT: Burlington International",232.00,35.00,8.71,0.00,8.55,0.00,17.74,11.00,1.00,1919.00,517.00,0.00,270.00,0.00,1132.00,
2018,4,"9E","Endeavor Air Inc.","BUF","Buffalo, NY: Buffalo Niagara International",357.00,78.00,23.35,1.15,17.40,0.00,36.10,20.00,3.00,5859.00,1488.00,45.00,811.00,0.00,3515.00,
2018,4,"9E","Endeavor Air Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",158.00,27.00,7.70,1.87,13.19,0.00,4.25,6.00,0.00,1409.00,421.00,65.00,563.00,0.00,360.00,
2018,4,"9E","Endeavor Air Inc.","CAE","Columbia, SC: Columbia Metropolitan",93.00,22.00,8.21,0.00,1.90,0.00,11.89,3.00,0.00,1600.00,577.00,0.00,73.00,0.00,950.00,
2018,4,"9E","Endeavor Air Inc.","CHA","Chattanooga, TN: Lovell Field",116.00,15.00,6.48,0.00,0.98,0.00,7.54,1.00,0.00,981.00,558.00,0.00,43.00,0.00,380.00,
2018,4,"9E","Endeavor Air Inc.","CHO","Charlottesville, VA: Charlottesville Albemarle",26.00,4.00,1.00,0.00,0.08,0.00,2.92,2.00,0.00,356.00,142.00,0.00,5.00,0.00,209.00,
2018,4,"9E","Endeavor Air Inc.","CHS","Charleston, SC: Charleston AFB/International",41.00,7.00,1.35,0.00,2.26,0.00,3.39,2.00,0.00,522.00,100.00,0.00,61.00,0.00,361.00,
2018,4,"9E","Endeavor Air Inc.","CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",42.00,3.00,2.01,0.00,0.00,0.00,0.99,0.00,0.00,258.00,131.00,0.00,0.00,0.00,127.00,
2018,4,"9E","Endeavor Air Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",236.00,42.00,14.64,0.01,12.62,0.00,14.73,5.00,0.00,3271.00,1147.00,1.00,700.00,0.00,1423.00,
2018,4,"9E","Endeavor Air Inc.","CLT","Charlotte, NC: Charlotte Douglas International",304.00,52.00,12.83,2.96,17.22,0.00,18.99,14.00,0.00,4013.00,846.00,612.00,976.00,0.00,1579.00,
2018,4,"9E","Endeavor Air Inc.","CMH","Columbus, OH: John Glenn Columbus International",48.00,12.00,2.19,0.00,2.44,0.00,7.37,2.00,0.00,823.00,151.00,0.00,107.00,0.00,565.00,
2018,4,"9E","Endeavor Air Inc.","CSG","Columbus, GA: Columbus Airport",116.00,22.00,11.48,0.03,3.55,0.00,6.93,0.00,1.00,1004.00,539.00,1.00,96.00,0.00,368.00,
2018,4,"9E","Endeavor Air Inc.","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",950.00,213.00,43.68,6.38,53.26,0.00,109.67,18.00,0.00,19420.00,5350.00,1239.00,2702.00,0.00,10129.00,
2018,4,"9E","Endeavor Air Inc.","CWA","Mosinee, WI: Central Wisconsin",112.00,12.00,6.22,0.85,3.28,0.00,1.65,4.00,0.00,1028.00,408.00,238.00,169.00,0.00,213.00,
2018,4,"9E","Endeavor Air Inc.","DAY","Dayton, OH: James M Cox/Dayton International",23.00,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,98.00,60.00,0.00,38.00,0.00,0.00,
