"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2018,8,"MQ","Envoy Air","RDU","Raleigh/Durham, NC: Raleigh-Durham International",237.00,66.00,12.80,1.96,28.73,0.00,22.51,37.00,1.00,3840.00,614.00,136.00,1685.00,0.00,1405.00,
2018,8,"MQ","Envoy Air","RIC","Richmond, VA: Richmond International",233.00,68.00,9.93,2.05,30.09,0.00,25.93,20.00,1.00,3485.00,575.00,90.00,1401.00,0.00,1419.00,
2018,8,"MQ","Envoy Air","ROA","Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",31.00,9.00,1.53,0.00,5.57,0.00,1.90,3.00,0.00,549.00,190.00,0.00,183.00,0.00,176.00,
2018,8,"MQ","Envoy Air","ROC","Rochester, NY: Greater Rochester International",174.00,34.00,5.94,1.47,15.44,0.00,11.16,17.00,0.00,1986.00,343.00,95.00,606.00,0.00,942.00,
2018,8,"MQ","Envoy Air","ROW","Roswell, NM: Roswell International Air Center",30.00,6.00,0.64,0.00,0.85,0.00,4.51,0.00,0.00,585.00,56.00,0.00,65.00,0.00,464.00,
2018,8,"MQ","Envoy Air","RST","Rochester, MN: Rochester International",22.00,3.00,0.79,0.00,2.16,0.00,0.04,2.00,0.00,126.00,43.00,0.00,80.00,0.00,3.00,
2018,8,"MQ","Envoy Air","SAT","San Antonio, TX: San Antonio International",24.00,6.00,0.00,0.05,0.00,0.00,5.95,0.00,0.00,218.00,0.00,1.00,0.00,0.00,217.00,
2018,8,"MQ","Envoy Air","SAV","Savannah, GA: Savannah/Hilton Head International",54.00,9.00,1.79,0.00,1.66,0.01,5.54,0.00,0.00,324.00,76.00,0.00,47.00,1.00,200.00,
2018,8,"MQ","Envoy Air","SDF","Louisville, KY: Louisville International-Standiford Field",92.00,17.00,2.46,0.28,7.18,0.00,7.08,12.00,1.00,1282.00,145.00,25.00,670.00,0.00,442.00,
2018,8,"MQ","Envoy Air","SGF","Springfield, MO: Springfield-Branson National",421.00,91.00,26.46,8.49,27.25,0.00,28.80,8.00,0.00,5548.00,1281.00,554.00,888.00,0.00,2825.00,
2018,8,"MQ","Envoy Air","SHV","Shreveport, LA: Shreveport Regional",95.00,26.00,6.02,0.70,8.31,0.00,10.97,1.00,0.00,1072.00,185.00,127.00,277.00,0.00,483.00,
2018,8,"MQ","Envoy Air","SJT","San Angelo, TX: San Angelo Regional/Mathis Field",122.00,14.00,4.86,2.08,2.82,0.00,4.23,2.00,0.00,657.00,314.00,66.00,98.00,0.00,179.00,
2018,8,"MQ","Envoy Air","SPI","Springfield, IL: Abraham Lincoln Capital",61.00,9.00,4.06,0.99,0.98,0.00,2.97,0.00,0.00,586.00,182.00,137.00,27.00,0.00,240.00,
2018,8,"MQ","Envoy Air","SPS","Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",91.00,13.00,4.09,0.76,3.21,0.00,4.95,0.00,0.00,638.00,161.00,82.00,152.00,0.00,243.00,
2018,8,"MQ","Envoy Air","STL","St. Louis, MO: St Louis Lambert International",126.00,25.00,5.54,1.86,8.40,0.00,9.21,15.00,2.00,1944.00,283.00,546.00,455.00,0.00,660.00,
2018,8,"MQ","Envoy Air","SUX","Sioux City, IA: Sioux Gateway/Col. Bud Day Field",89.00,30.00,3.70,1.26,12.75,0.00,12.29,1.00,0.00,1473.00,165.00,58.00,389.00,0.00,861.00,
2018,8,"MQ","Envoy Air","SWO","Stillwater, OK: Stillwater Regional",76.00,13.00,3.07,1.41,2.92,0.00,5.59,0.00,1.00,596.00,190.00,94.00,69.00,0.00,243.00,
2018,8,"MQ","Envoy Air","SYR","Syracuse, NY: Syracuse Hancock International",143.00,45.00,8.99,0.68,15.01,0.00,20.32,10.00,0.00,2478.00,502.00,70.00,484.00,0.00,1422.00,
2018,8,"MQ","Envoy Air","TLH","Tallahassee, FL: Tallahassee International",178.00,30.00,8.26,3.34,5.81,0.00,12.59,4.00,2.00,1701.00,396.00,149.00,287.00,0.00,869.00,
2018,8,"MQ","Envoy Air","TOL","Toledo, OH: Toledo Express",21.00,5.00,0.85,1.57,1.78,0.00,0.80,1.00,0.00,106.00,17.00,36.00,35.00,0.00,18.00,
2018,8,"MQ","Envoy Air","TUL","Tulsa, OK: Tulsa International",54.00,14.00,0.31,1.12,5.93,0.00,6.64,1.00,0.00,793.00,8.00,75.00,233.00,0.00,477.00,
2018,8,"MQ","Envoy Air","TVC","Traverse City, MI: Cherry Capital",85.00,8.00,0.62,0.00,4.43,0.00,2.95,5.00,0.00,484.00,84.00,0.00,184.00,0.00,216.00,
2018,8,"MQ","Envoy Air","TXK","Texarkana, AR: Texarkana Regional-Webb Field",116.00,16.00,3.52,0.83,5.01,0.00,6.64,0.00,0.00,664.00,117.00,34.00,188.00,0.00,325.00,
2018,8,"MQ","Envoy Air","TYR","Tyler, TX: Tyler Pounds Regional",120.00,25.00,6.82,2.79,9.38,0.00,6.01,0.00,0.00,1188.00,380.00,100.00,288.00,0.00,420.00,
2018,8,"MQ","Envoy Air","TYS","Knoxville, TN: McGhee Tyson",26.00,7.00,0.13,0.69,4.06,0.00,2.13,0.00,0.00,341.00,2.00,70.00,188.00,0.00,81.00,
2018,8,"MQ","Envoy Air","XNA","Fayetteville, AR: Northwest Arkansas Regional",403.00,84.00,22.69,7.38,29.63,0.00,24.29,3.00,0.00,4950.00,1115.00,582.00,1290.00,0.00,1963.00,
2018,8,"NK","Spirit Air Lines","ACY","Atlantic City, NJ: Atlantic City International",266.00,73.00,13.84,4.16,34.00,0.79,20.21,3.00,1.00,6178.00,838.00,398.00,2693.00,52.00,2197.00,
2018,8,"NK","Spirit Air Lines","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",762.00,184.00,33.02,5.93,99.05,0.00,45.99,4.00,3.00,16282.00,4071.00,380.00,6021.00,0.00,5810.00,
2018,8,"NK","Spirit Air Lines","BDL","Hartford, CT: Bradley International",137.00,27.00,4.29,3.80,12.62,0.00,6.29,0.00,0.00,3350.00,468.00,421.00,883.00,0.00,1578.00,
2018,8,"NK","Spirit Air Lines","BOS","Boston, MA: Logan International",483.00,141.00,17.42,8.02,81.61,0.65,33.30,16.00,1.00,12036.00,1115.00,804.00,6211.00,27.00,3879.00,
2018,8,"NK","Spirit Air Lines","BQN","Aguadilla, PR: Rafael Hernandez",31.00,11.00,5.22,1.69,4.09,0.00,0.00,0.00,0.00,358.00,162.00,44.00,152.00,0.00,0.00,
2018,8,"NK","Spirit Air Lines","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",801.00,218.00,50.87,11.50,107.15,1.00,47.48,9.00,1.00,15417.00,2979.00,671.00,7776.00,90.00,3901.00,
2018,8,"NK","Spirit Air Lines","CAK","Akron, OH: Akron-Canton Regional",31.00,8.00,0.90,1.70,4.72,0.00,0.68,0.00,0.00,617.00,26.00,113.00,402.00,0.00,76.00,
2018,8,"NK","Spirit Air Lines","CLE","Cleveland, OH: Cleveland-Hopkins International",259.00,41.00,10.73,0.89,10.58,0.00,18.80,0.00,0.00,3910.00,686.00,61.00,836.00,0.00,2327.00,
