"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2018,2,"MQ","Envoy Air","DTW","Detroit, MI: Detroit Metro Wayne County",107.00,34.00,4.44,6.03,10.31,0.00,13.22,11.00,1.00,2304.00,400.00,309.00,616.00,0.00,979.00,
2018,2,"MQ","Envoy Air","ELP","El Paso, TX: El Paso International",4.00,1.00,0.00,0.84,0.16,0.00,0.00,0.00,0.00,45.00,0.00,38.00,7.00,0.00,0.00,
2018,2,"MQ","Envoy Air","EVV","Evansville, IN: Evansville Regional",52.00,11.00,1.28,0.53,4.02,0.00,5.17,6.00,0.00,864.00,91.00,74.00,175.00,0.00,524.00,
2018,2,"MQ","Envoy Air","EWR","Newark, NJ: Newark Liberty International",61.00,23.00,3.93,0.79,12.46,0.00,5.81,4.00,0.00,1312.00,221.00,35.00,667.00,0.00,389.00,
2018,2,"MQ","Envoy Air","FAR","Fargo, ND: Hector International",134.00,29.00,1.45,5.09,10.32,0.00,12.14,7.00,0.00,1911.00,121.00,400.00,500.00,0.00,890.00,
2018,2,"MQ","Envoy Air","FLO","Florence, SC: Florence Regional",14.00,2.00,0.26,0.00,0.82,0.00,0.92,0.00,0.00,71.00,6.00,0.00,21.00,0.00,44.00,
2018,2,"MQ","Envoy Air","FSD","Sioux Falls, SD: Joe Foss Field",112.00,37.00,8.11,4.71,17.03,0.00,7.14,4.00,0.00,1924.00,573.00,240.00,663.00,0.00,448.00,
2018,2,"MQ","Envoy Air","FSM","Fort Smith, AR: Fort Smith Regional",46.00,12.00,5.52,1.56,3.02,0.00,1.90,4.00,0.00,632.00,414.00,56.00,85.00,0.00,77.00,
2018,2,"MQ","Envoy Air","GCK","Garden City, KS: Garden City Regional",56.00,15.00,1.40,2.06,3.53,0.00,8.01,1.00,0.00,576.00,75.00,103.00,94.00,0.00,304.00,
2018,2,"MQ","Envoy Air","GGG","Longview, TX: East Texas Regional",52.00,10.00,1.97,2.79,1.68,0.00,3.56,7.00,0.00,629.00,199.00,161.00,71.00,0.00,198.00,
2018,2,"MQ","Envoy Air","GJT","Grand Junction, CO: Grand Junction Regional",70.00,14.00,3.85,1.87,2.87,0.00,5.41,0.00,0.00,510.00,101.00,67.00,171.00,0.00,171.00,
2018,2,"MQ","Envoy Air","GNV","Gainesville, FL: Gainesville Regional",48.00,10.00,1.22,0.00,2.07,0.00,6.71,1.00,0.00,373.00,34.00,0.00,74.00,0.00,265.00,
2018,2,"MQ","Envoy Air","GRB","Green Bay, WI: Green Bay Austin Straubel International",56.00,7.00,0.01,1.31,2.98,0.00,2.70,4.00,0.00,409.00,1.00,144.00,148.00,0.00,116.00,
2018,2,"MQ","Envoy Air","GRI","Grand Island, NE: Central Nebraska Regional",52.00,15.00,2.62,2.59,3.08,0.00,6.71,1.00,0.00,960.00,144.00,154.00,97.00,0.00,565.00,
