"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2018,7,"9E","Endeavor Air Inc.","ACK","Nantucket, MA: Nantucket Memorial",34.00,8.00,1.19,0.00,2.57,0.00,4.24,0.00,1.00,363.00,46.00,0.00,86.00,0.00,231.00,
2018,7,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",124.00,26.00,7.78,2.77,7.31,0.00,8.13,1.00,0.00,1613.00,508.00,122.00,331.00,0.00,652.00,
2018,7,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",2466.00,380.00,55.88,30.18,136.75,0.02,157.18,10.00,14.00,31302.00,6624.00,3222.00,8407.00,2.00,13047.00,
2018,7,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",24.00,5.00,3.00,0.58,0.42,0.00,1.00,0.00,0.00,484.00,304.00,49.00,35.00,0.00,96.00,
2018,7,"9E","Endeavor Air Inc.","AUS","Austin, TX: Austin - Bergstrom International",21.00,2.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,101.00,0.00,55.00,0.00,0.00,46.00,
2018,7,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",157.00,24.00,7.24,1.88,7.99,0.00,6.89,2.00,0.00,1516.00,792.00,48.00,313.00,0.00,363.00,
2018,7,"9E","Endeavor Air Inc.","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",83.00,13.00,5.56,0.00,4.44,0.00,3.00,0.00,0.00,492.00,210.00,0.00,139.00,0.00,143.00,
2018,7,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",72.00,6.00,2.55,0.27,0.61,0.00,2.56,0.00,0.00,397.00,113.00,28.00,46.00,0.00,210.00,
2018,7,"9E","Endeavor Air Inc.","BGR","Bangor, ME: Bangor International",123.00,31.00,8.87,0.98,7.84,0.00,13.31,4.00,0.00,2303.00,499.00,94.00,444.00,0.00,1266.00,
2018,7,"9E","Endeavor Air Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",69.00,19.00,4.89,1.13,2.47,0.00,10.50,4.00,0.00,1694.00,423.00,131.00,268.00,0.00,872.00,
2018,7,"9E","Endeavor Air Inc.","BIS","Bismarck/Mandan, ND: Bismarck Municipal",7.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,18.00,0.00,0.00,
2018,7,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",131.00,30.00,6.50,1.40,13.50,0.00,8.59,3.00,0.00,2017.00,683.00,164.00,621.00,0.00,549.00,
2018,7,"9E","Endeavor Air Inc.","BOS","Boston, MA: Logan International",452.00,95.00,13.57,6.10,39.80,0.00,35.52,21.00,1.00,8000.00,1051.00,563.00,2923.00,0.00,3463.00,
