"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2018,6,"9E","Endeavor Air Inc.","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",13.00,1.00,0.00,0.27,0.73,0.00,0.00,0.00,0.00,95.00,0.00,26.00,69.00,0.00,0.00,
2018,6,"9E","Endeavor Air Inc.","ABY","Albany, GA: Southwest Georgia Regional",19.00,6.00,2.00,1.37,1.72,0.00,0.92,0.00,0.00,427.00,130.00,124.00,76.00,0.00,97.00,
2018,6,"9E","Endeavor Air Inc.","ACK","Nantucket, MA: Nantucket Memorial",26.00,2.00,0.37,0.00,0.27,0.00,1.36,0.00,0.00,83.00,14.00,0.00,12.00,0.00,57.00,
2018,6,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",68.00,14.00,3.01,1.39,6.53,0.00,3.07,1.00,0.00,978.00,92.00,135.00,365.00,0.00,386.00,
2018,6,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",2312.00,479.00,75.70,29.48,145.30,0.00,228.53,24.00,16.00,51054.00,10254.00,4496.00,11562.00,0.00,24742.00,
2018,6,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",25.00,8.00,0.18,0.02,3.92,0.00,3.87,0.00,0.00,447.00,4.00,4.00,247.00,0.00,192.00,
2018,6,"9E","Endeavor Air Inc.","AUS","Austin, TX: Austin - Bergstrom International",46.00,3.00,2.92,0.00,0.08,0.00,0.00,0.00,0.00,257.00,254.00,0.00,3.00,0.00,0.00,
2018,6,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",72.00,11.00,3.82,1.11,3.36,0.00,2.71,4.00,0.00,1733.00,122.00,587.00,552.00,0.00,472.00,
2018,6,"9E","Endeavor Air Inc.","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",65.00,9.00,6.26,0.00,2.30,0.00,0.45,0.00,0.00,524.00,449.00,0.00,62.00,0.00,13.00,
2018,6,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",83.00,18.00,7.47,0.77,1.51,0.00,8.25,0.00,0.00,1210.00,506.00,17.00,57.00,0.00,630.00,
2018,6,"9E","Endeavor Air Inc.","BGR","Bangor, ME: Bangor International",127.00,22.00,5.89,0.22,10.31,0.00,5.58,0.00,0.00,1323.00,378.00,13.00,468.00,0.00,464.00,
2018,6,"9E","Endeavor Air Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",59.00,18.00,3.77,0.02,6.64,0.00,7.56,1.00,1.00,1279.00,349.00,1.00,480.00,0.00,449.00,
2018,6,"9E","Endeavor Air Inc.","BIS","Bismarck/Mandan, ND: Bismarck Municipal",19.00,3.00,1.65,0.00,1.35,0.00,0.00,0.00,0.00,71.00,46.00,0.00,25.00,0.00,0.00,
2018,6,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Illinois Regional",17.00,4.00,1.28,0.00,1.63,0.00,1.09,0.00,0.00,269.00,73.00,0.00,126.00,0.00,70.00,
2018,6,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",136.00,20.00,5.48,0.22,6.48,0.00,7.82,1.00,1.00,1910.00,1012.00,23.00,241.00,0.00,634.00,
