"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2018,3,"9E","Endeavor Air Inc.","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018,3,"9E","Endeavor Air Inc.","ABY","Albany, GA: Southwest Georgia Regional",88.00,11.00,5.07,0.50,3.34,0.00,2.09,0.00,1.00,493.00,312.00,14.00,97.00,0.00,70.00,
2018,3,"9E","Endeavor Air Inc.","AEX","Alexandria, LA: Alexandria International",3.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,18.00,0.00,0.00,0.00,0.00,
2018,3,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",58.00,8.00,4.41,0.55,0.11,0.00,2.93,0.00,0.00,542.00,281.00,47.00,12.00,0.00,202.00,
2018,3,"9E","Endeavor Air Inc.","ALB","Albany, NY: Albany International",27.00,7.00,4.80,0.00,1.21,0.00,0.99,1.00,0.00,581.00,433.00,0.00,43.00,0.00,105.00,
2018,3,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",2294.00,359.00,59.06,7.90,130.10,0.00,161.94,15.00,1.00,24057.00,7703.00,685.00,4810.00,0.00,10859.00,
2018,3,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",66.00,12.00,2.98,0.31,6.08,0.00,2.63,0.00,0.00,522.00,174.00,34.00,208.00,0.00,106.00,
2018,3,"9E","Endeavor Air Inc.","AUS","Austin, TX: Austin - Bergstrom International",31.00,10.00,3.83,0.00,5.86,0.00,0.31,0.00,1.00,436.00,287.00,0.00,136.00,0.00,13.00,
2018,3,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",58.00,3.00,1.69,0.00,0.31,0.90,0.10,0.00,0.00,138.00,78.00,0.00,11.00,44.00,5.00,
2018,3,"9E","Endeavor Air Inc.","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",20.00,4.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,128.00,107.00,0.00,21.00,0.00,0.00,
2018,3,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",34.00,6.00,2.39,0.00,1.25,0.00,2.35,3.00,1.00,395.00,68.00,0.00,56.00,0.00,271.00,
2018,3,"9E","Endeavor Air Inc.","BGR","Bangor, ME: Bangor International",94.00,19.00,7.93,0.14,3.31,0.00,7.61,16.00,0.00,2325.00,1569.00,5.00,103.00,0.00,648.00,
2018,3,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Illinois Regional",58.00,8.00,3.06,0.70,0.75,0.00,3.50,1.00,0.00,459.00,186.00,80.00,44.00,0.00,149.00,
2018,3,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",179.00,37.00,7.92,0.06,7.74,0.00,21.29,24.00,0.00,2141.00,408.00,4.00,302.00,0.00,1427.00,
2018,3,"9E","Endeavor Air Inc.","BOS","Boston, MA: Logan International",537.00,91.00,26.20,2.13,30.66,1.00,31.01,77.00,0.00,5945.00,2029.00,214.00,1236.00,15.00,2451.00,
2018,3,"9E","Endeavor Air Inc.","BQK","Brunswick, GA: Brunswick Golden Isles",88.00,16.00,10.21,0.00,2.44,0.00,3.36,0.00,0.00,654.00,389.00,0.00,80.00,0.00,185.00,
2018,3,"9E","Endeavor Air Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018,3,"9E","Endeavor Air Inc.","BTV","Burlington, VT: Burlington International",230.00,52.00,16.90,3.03,17.76,0.00,14.30,29.00,5.00,3294.00,1234.00,248.00,704.00,0.00,1108.00,
2018,3,"9E","Endeavor Air Inc.","BUF","Buffalo, NY: Buffalo Niagara International",360.00,56.00,16.78,2.68,10.50,0.98,25.06,44.00,0.00,5019.00,2482.00,118.00,502.00,191.00,1726.00,
