"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2018,11,"9E","Endeavor Air Inc.","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",51.00,11.00,3.94,1.04,1.95,0.00,4.07,0.00,0.00,647.00,244.00,98.00,52.00,0.00,253.00,
2018,11,"9E","Endeavor Air Inc.","AEX","Alexandria, LA: Alexandria International",88.00,23.00,7.19,2.81,6.22,0.00,6.78,0.00,1.00,1155.00,357.00,154.00,240.00,0.00,404.00,
2018,11,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",89.00,23.00,7.45,3.93,5.86,0.00,5.77,0.00,0.00,2125.00,366.00,1230.00,189.00,0.00,340.00,
2018,11,"9E","Endeavor Air Inc.","ALB","Albany, NY: Albany International",5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018,11,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",2541.00,667.00,82.08,21.12,257.80,0.00,305.99,7.00,2.00,48247.00,10446.00,2266.00,11163.00,0.00,24372.00,
2018,11,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",34.00,9.00,3.98,0.00,1.89,0.00,3.13,0.00,0.00,553.00,329.00,0.00,57.00,0.00,167.00,
2018,11,"9E","Endeavor Air Inc.","AUS","Austin, TX: Austin - Bergstrom International",35.00,5.00,0.12,0.00,2.46,0.00,2.42,0.00,0.00,508.00,13.00,0.00,97.00,0.00,398.00,
2018,11,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",15.00,2.00,1.00,0.00,0.84,0.00,0.16,0.00,0.00,82.00,31.00,0.00,43.00,0.00,8.00,
2018,11,"9E","Endeavor Air Inc.","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018,11,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",81.00,10.00,1.36,0.35,2.93,0.00,5.36,0.00,0.00,650.00,113.00,13.00,239.00,0.00,285.00,
2018,11,"9E","Endeavor Air Inc.","BGR","Bangor, ME: Bangor International",101.00,29.00,7.79,0.71,5.79,0.00,14.71,3.00,0.00,2548.00,1371.00,50.00,196.00,0.00,931.00,
2018,11,"9E","Endeavor Air Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",31.00,5.00,2.06,0.00,1.26,0.00,1.68,1.00,0.00,613.00,220.00,0.00,55.00,0.00,338.00,
2018,11,"9E","Endeavor Air Inc.","BIS","Bismarck/Mandan, ND: Bismarck Municipal",3.00,2.00,1.00,0.98,0.02,0.00,0.00,0.00,0.00,545.00,23.00,512.00,10.00,0.00,0.00,
2018,11,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Illinois Regional",76.00,22.00,7.73,1.03,2.27,1.00,9.97,0.00,0.00,1180.00,337.00,108.00,81.00,85.00,569.00,
2018,11,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",38.00,5.00,1.03,0.00,1.72,0.00,2.25,1.00,0.00,181.00,18.00,0.00,71.00,0.00,92.00,
2018,11,"9E","Endeavor Air Inc.","BOS","Boston, MA: Logan International",417.00,98.00,17.96,1.04,39.22,0.00,39.77,5.00,0.00,6192.00,1179.00,79.00,2309.00,0.00,2625.00,
2018,11,"9E","Endeavor Air Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",57.00,14.00,5.06,0.23,1.89,0.00,6.82,0.00,0.00,818.00,197.00,14.00,45.00,0.00,562.00,
2018,11,"9E","Endeavor Air Inc.","BTV","Burlington, VT: Burlington International",218.00,48.00,9.04,0.09,11.72,0.29,26.87,2.00,1.00,4109.00,677.00,2.00,1191.00,8.00,2231.00,
2018,11,"9E","Endeavor Air Inc.","BUF","Buffalo, NY: Buffalo Niagara International",208.00,34.00,6.37,0.26,12.03,0.00,15.34,2.00,0.00,2067.00,434.00,38.00,391.00,0.00,1204.00,
