"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2018,10,"9E","Endeavor Air Inc.","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",55.00,9.00,5.98,0.00,2.08,0.00,0.94,0.00,0.00,370.00,299.00,0.00,42.00,0.00,29.00,
2018,10,"9E","Endeavor Air Inc.","ABY","Albany, GA: Southwest Georgia Regional",,,,,,,,,,,,,,,,
2018,10,"9E","Endeavor Air Inc.","AEX","Alexandria, LA: Alexandria International",112.00,13.00,5.92,0.00,2.74,0.00,4.34,1.00,0.00,748.00,213.00,0.00,118.00,0.00,417.00,
2018,10,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",135.00,14.00,6.76,0.00,3.80,0.00,3.44,1.00,0.00,442.00,262.00,0.00,95.00,0.00,85.00,
2018,10,"9E","Endeavor Air Inc.","ALB","Albany, NY: Albany International",29.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,105.00,105.00,0.00,0.00,0.00,0.00,
2018,10,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",2382.00,304.00,62.10,6.03,96.90,0.00,138.97,13.00,0.00,19940.00,6450.00,230.00,2785.00,0.00,10475.00,
2018,10,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",12.00,3.00,0.00,0.00,0.48,0.00,2.52,0.00,0.00,75.00,0.00,0.00,10.00,0.00,65.00,
2018,10,"9E","Endeavor Air Inc.","AUS","Austin, TX: Austin - Bergstrom International",46.00,4.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,233.00,215.00,0.00,18.00,0.00,0.00,
2018,10,"9E","Endeavor Air Inc.","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018,10,"9E","Endeavor Air Inc.","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International",5.00,1.00,0.99,0.00,0.01,0.00,0.00,0.00,0.00,111.00,110.00,0.00,1.00,0.00,0.00,
2018,10,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",105.00,13.00,2.30,0.00,0.27,0.00,10.43,1.00,0.00,675.00,170.00,0.00,7.00,0.00,498.00,
2018,10,"9E","Endeavor Air Inc.","BGR","Bangor, ME: Bangor International",115.00,25.00,2.22,0.00,9.69,0.00,13.09,1.00,0.00,1822.00,136.00,0.00,1049.00,0.00,637.00,
2018,10,"9E","Endeavor Air Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",125.00,18.00,3.51,1.00,4.22,0.00,9.26,1.00,0.00,976.00,193.00,23.00,207.00,0.00,553.00,
2018,10,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Illinois Regional",37.00,8.00,4.32,0.00,3.04,0.00,0.64,0.00,0.00,310.00,192.00,0.00,91.00,0.00,27.00,
2018,10,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",99.00,23.00,1.89,0.06,9.12,0.00,11.92,0.00,0.00,1164.00,50.00,5.00,385.00,0.00,724.00,
2018,10,"9E","Endeavor Air Inc.","BOS","Boston, MA: Logan International",508.00,123.00,17.92,2.00,66.60,0.00,36.47,1.00,0.00,8086.00,1069.00,848.00,4143.00,0.00,2026.00,
2018,10,"9E","Endeavor Air Inc.","BQK","Brunswick, GA: Brunswick Golden Isles",,,,,,,,,,,,,,,,
2018,10,"9E","Endeavor Air Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",55.00,9.00,4.97,1.19,1.84,0.00,1.00,0.00,0.00,332.00,255.00,19.00,36.00,0.00,22.00,
2018,10,"9E","Endeavor Air Inc.","BTV","Burlington, VT: Burlington International",229.00,35.00,9.74,0.06,12.85,0.00,12.35,1.00,1.00,2045.00,526.00,7.00,715.00,0.00,797.00,
2018,10,"9E","Endeavor Air Inc.","BUF","Buffalo, NY: Buffalo Niagara International",195.00,45.00,7.36,0.00,25.89,0.00,11.75,0.00,0.00,1937.00,350.00,0.00,964.00,0.00,623.00,
2018,10,"9E","Endeavor Air Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",231.00,36.00,16.47,0.45,10.29,0.00,8.79,1.00,0.00,1950.00,1040.00,18.00,280.00,0.00,612.00,
2018,10,"9E","Endeavor Air Inc.","CAE","Columbia, SC: Columbia Metropolitan",27.00,15.00,1.26,0.00,6.89,0.00,6.85,0.00,0.00,653.00,91.00,0.00,178.00,0.00,384.00,
2018,10,"9E","Endeavor Air Inc.","CAK","Akron, OH: Akron-Canton Regional",55.00,5.00,0.31,0.00,1.81,0.00,2.88,0.00,0.00,235.00,10.00,0.00,42.00,0.00,183.00,
2018,10,"9E","Endeavor Air Inc.","CHA","Chattanooga, TN: Lovell Field",63.00,12.00,1.81,0.00,4.68,0.00,5.51,1.00,0.00,534.00,86.00,0.00,138.00,0.00,310.00,
2018,10,"9E","Endeavor Air Inc.","CHO","Charlottesville, VA: Charlottesville Albemarle",120.00,20.00,7.17,0.18,7.77,1.00,3.88,0.00,0.00,975.00,498.00,3.00,264.00,33.00,177.00,
2018,10,"9E","Endeavor Air Inc.","CHS","Charleston, SC: Charleston AFB/International",69.00,7.00,3.39,0.00,1.02,0.00,2.59,0.00,1.00,726.00,274.00,0.00,125.00,0.00,327.00,
2018,10,"9E","Endeavor Air Inc.","CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018,10,"9E","Endeavor Air Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",375.00,52.00,16.77,1.82,16.95,0.00,16.46,0.00,0.00,3086.00,1047.00,145.00,796.00,0.00,1098.00,
2018,10,"9E","Endeavor Air Inc.","CLT","Charlotte, NC: Charlotte Douglas International",253.00,44.00,14.30,0.00,6.29,0.00,23.41,2.00,0.00,2529.00,739.00,0.00,264.00,0.00,1526.00,
2018,10,"9E","Endeavor Air Inc.","CSG","Columbus, GA: Columbus Airport",116.00,19.00,8.96,0.99,2.40,0.00,6.66,1.00,1.00,1261.00,654.00,200.00,127.00,0.00,280.00,
2018,10,"9E","Endeavor Air Inc.","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",1084.00,208.00,31.68,3.62,49.88,0.00,122.83,2.00,0.00,12760.00,2106.00,199.00,1787.00,0.00,8668.00,
2018,10,"9E","Endeavor Air Inc.","CWA","Mosinee, WI: Central Wisconsin",142.00,20.00,4.48,0.00,7.55,0.00,7.96,0.00,0.00,985.00,379.00,0.00,286.00,0.00,320.00,
2018,10,"9E","Endeavor Air Inc.","DCA","Washington, DC: Ronald Reagan Washington National",169.00,31.00,8.49,0.00,10.57,0.00,11.94,0.00,1.00,1951.00,588.00,0.00,548.00,0.00,815.00,
2018,10,"9E","Endeavor Air Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",169.00,43.00,10.96,0.00,26.57,0.00,5.47,0.00,3.00,2352.00,804.00,0.00,1258.00,0.00,290.00,
