"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2018,9,"F9","Frontier Airlines Inc.","PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",8.00,3.00,0.85,0.00,0.49,0.00,1.65,0.00,0.00,123.00,27.00,0.00,13.00,0.00,83.00,
2018,9,"F9","Frontier Airlines Inc.","PDX","Portland, OR: Portland International",69.00,24.00,11.49,0.00,4.28,0.00,8.23,1.00,0.00,1428.00,521.00,0.00,156.00,0.00,751.00,
2018,9,"F9","Frontier Airlines Inc.","PHL","Philadelphia, PA: Philadelphia International",321.00,113.00,31.96,0.00,38.35,0.00,42.69,16.00,0.00,9589.00,3858.00,0.00,1773.00,0.00,3958.00,
2018,9,"F9","Frontier Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",103.00,25.00,14.70,0.00,2.88,0.00,7.41,2.00,0.00,2068.00,777.00,0.00,262.00,0.00,1029.00,
2018,9,"F9","Frontier Airlines Inc.","PIT","Pittsburgh, PA: Pittsburgh International",32.00,9.00,2.20,0.00,2.86,0.00,3.94,0.00,0.00,535.00,83.00,0.00,146.00,0.00,306.00,
2018,9,"F9","Frontier Airlines Inc.","PNS","Pensacola, FL: Pensacola International",22.00,7.00,2.27,0.00,1.05,0.00,3.68,1.00,0.00,422.00,81.00,0.00,41.00,0.00,300.00,
2018,9,"F9","Frontier Airlines Inc.","PVD","Providence, RI: Theodore Francis Green State",77.00,23.00,5.09,0.00,4.89,0.00,13.02,7.00,0.00,1663.00,383.00,0.00,173.00,0.00,1107.00,
2018,9,"F9","Frontier Airlines Inc.","PWM","Portland, ME: Portland International Jetport",39.00,10.00,5.33,0.00,2.66,0.00,2.01,3.00,0.00,437.00,321.00,0.00,73.00,0.00,43.00,
2018,9,"F9","Frontier Airlines Inc.","RDU","Raleigh/Durham, NC: Raleigh-Durham International",288.00,85.00,18.63,0.75,28.81,0.00,36.81,32.00,0.00,5411.00,1599.00,73.00,1182.00,0.00,2557.00,
2018,9,"F9","Frontier Airlines Inc.","RNO","Reno, NV: Reno/Tahoe International",25.00,7.00,4.10,0.00,0.98,0.00,1.92,0.00,0.00,481.00,208.00,0.00,53.00,0.00,220.00,
